"arc_length","u","v","p"
0,0,0,-0.324522
0.001,-0.000680451,0.00153959,-0.321668
0.002,-0.0013609,0.00307918,-0.318814
0.003,-0.00204135,0.00461877,-0.31596
0.004,-0.0027218,0.00615836,-0.313106
0.005,-0.00340225,0.00769795,-0.310251
0.006,-0.0040827,0.00923754,-0.307397
0.007,-0.00476315,0.0107771,-0.304543
0.008,-0.0054436,0.0123167,-0.301689
0.009,-0.00612405,0.0138563,-0.298834
0.01,-0.00680451,0.0153959,-0.29598
0.011,-0.00748496,0.0169355,-0.293126
0.012,-0.00816541,0.0184751,-0.290272
0.013,-0.00884586,0.0200147,-0.287418
0.014,-0.00952631,0.0215543,-0.284563
0.015,-0.0102068,0.0230938,-0.281709
0.016,-0.0108872,0.0246334,-0.278855
0.017,-0.0115677,0.026173,-0.276001
0.018,-0.0122481,0.0277126,-0.273146
0.019,-0.0129286,0.0292522,-0.270292
0.02,-0.013609,0.0307918,-0.267438
0.021,-0.0142895,0.0323314,-0.264584
0.022,-0.0149699,0.033871,-0.26173
0.023,-0.0156504,0.0354106,-0.258875
0.024,-0.0163308,0.0369502,-0.256021
0.025,-0.0170113,0.0384897,-0.253167
0.026,-0.0176917,0.0400293,-0.250313
0.027,-0.0183722,0.0415689,-0.247458
0.028,-0.0190526,0.0431085,-0.244604
0.029,-0.0197331,0.0446481,-0.24175
0.03,-0.0204135,0.0461877,-0.238896
0.031,-0.021094,0.0477273,-0.236042
0.032,-0.0217171,0.0490283,-0.233269
0.033,-0.0223211,0.0502498,-0.230523
0.034,-0.0229251,0.0514713,-0.227777
0.035,-0.0235291,0.0526928,-0.225031
0.036,-0.0241331,0.0539143,-0.222285
0.037,-0.0247371,0.0551358,-0.21954
0.038,-0.0253412,0.0563573,-0.216794
0.039,-0.0259452,0.0575788,-0.214048
0.04,-0.0265492,0.0588003,-0.211302
0.041,-0.0271532,0.0600218,-0.208556
0.042,-0.0277572,0.0612433,-0.205811
0.043,-0.0283612,0.0624648,-0.203065
0.044,-0.0289652,0.0636863,-0.200319
0.045,-0.0295692,0.0649078,-0.197573
0.046,-0.0301732,0.0661293,-0.194827
0.047,-0.0307773,0.0673508,-0.192082
0.048,-0.0313813,0.0685723,-0.189336
0.049,-0.0319853,0.0697938,-0.18659
0.05,-0.0325893,0.0710153,-0.183844
0.051,-0.0331933,0.0722368,-0.181098
0.052,-0.0337973,0.0734583,-0.178353
