"arc_length","p","u","v"
0,0.980402,0.999936,0
0.0120001,0.979931,0.999756,0
0.0239999,0.979461,0.999576,0
0.036,0.97899,0.999396,0
0.0480001,0.97852,0.999215,0
0.0599999,0.978049,0.999035,0
0.072,0.977578,0.998855,0
0.0840001,0.977138,0.998639,1.18585e-20
0.096,0.976938,0.998135,1.35525e-20
0.108,0.976739,0.997632,2.71051e-20
0.12,0.97654,0.997129,0
0.132,0.976341,0.996625,-5.42101e-20
0.144,0.976141,0.996122,0
0.156,0.975942,0.995618,0
0.168,0.975849,0.995017,-4.06576e-20
0.18,0.976016,0.994178,-5.42101e-20
0.192,0.976184,0.993338,-5.42101e-20
0.204,0.976351,0.992498,0
0.216,0.976518,0.991658,0
0.228,0.976686,0.990818,-1.0842e-19
0.24,0.976853,0.989979,1.0842e-19
0.252,0.977197,0.988961,-1.0842e-19
0.264,0.977695,0.987788,0
0.276,0.978192,0.986616,0
0.288,0.978689,0.985444,-1.0842e-19
0.3,0.979187,0.984272,0
0.312,0.979684,0.983099,2.1684e-19
0.324,0.980181,0.981927,0
0.336,0.980968,0.980465,-5.42101e-20
0.348,0.981806,0.978951,-5.42101e-20
0.36,0.982644,0.977438,1.0842e-19
0.372,0.983482,0.975924,0
0.384,0.984319,0.97441,0
0.396,0.985157,0.972897,0
0.408,0.986073,0.971302,1.35525e-20
0.42,0.987251,0.969435,1.0842e-19
0.432,0.988429,0.967568,0
0.444,0.989606,0.965701,2.1684e-19
0.456,0.990784,0.963833,-2.1684e-19
0.468,0.991962,0.961966,-2.1684e-19
0.48,0.99314,0.960099,0
0.492,0.994551,0.957981,-1.6263e-19
0.504,0.996075,0.955742,2.1684e-19
0.516,0.997599,0.953503,2.1684e-19
0.528,0.999123,0.951264,0
0.54,1.00065,0.949025,0
0.552,1.00217,0.946786,0
0.564,1.00376,0.944474,-2.1684e-19
0.576,1.00564,0.941838,1.0842e-19
0.588,1.00751,0.939203,2.1684e-19
0.6,1.00939,0.936567,2.1684e-19
0.612,1.01127,0.933932,2.1684e-19
0.624,1.01315,0.931296,4.33681e-19
0.636,1.01502,0.928661,0
0.648,1.01718,0.925701,1.0842e-19
0.66,1.01942,0.922639,-1.0842e-19
0.672,1.02166,0.919576,-2.1684e-19
0.684,1.0239,0.916513,0
0.696,1.02614,0.91345,0
0.708,1.02838,0.910387,0
0.72,1.03077,0.90714,-2.71051e-20
0.732,1.03339,0.903611,2.1684e-19
0.744,1.036,0.900082,0
0.756,1.03862,0.896554,0
0.768,1.04123,0.893025,0
0.78,1.04385,0.889497,0
0.792,1.0465,0.885918,8.13152e-20
0.804,1.0495,0.881877,-1.0842e-19
0.816,1.0525,0.877837,0
0.828,1.0555,0.873796,4.33681e-19
0.84,1.05851,0.869755,4.33681e-19
0.852,1.06151,0.865714,0
0.864,1.06451,0.861673,0
0.876,1.06785,0.857144,1.0842e-19
0.888,1.07125,0.852536,4.33681e-19
0.9,1.07465,0.847927,0
0.912,1.07805,0.843319,-4.33681e-19
0.924,1.08145,0.83871,0
0.936,1.08484,0.834102,0
0.948,1.08852,0.82906,-1.0842e-19
0.96,1.09233,0.823819,0
0.972,1.09613,0.818578,-4.33681e-19
0.984,1.09993,0.813336,0
0.996,1.10374,0.808095,0
1.008,1.10754,0.802854,0
1.02,1.11158,0.797209,0
1.032,1.1158,0.791261,-2.1684e-19
1.044,1.12002,0.785312,0
1.056,1.12423,0.779364,0
1.068,1.12845,0.773416,0
1.08,1.13267,0.767468,0
1.092,1.13709,0.761112,0
1.104,1.14171,0.754377,0
1.116,1.14633,0.747643,0
1.128,1.15094,0.740908,0
1.14,1.15556,0.734173,0
1.152,1.16017,0.727439,0
1.164,1.165,0.720255,0
1.176,1.17003,0.712648,0
1.188,1.17506,0.70504,0
1.2,1.18009,0.697432,0
