"arc_length","p","u","v"
0,0.244026,0,0
0.00600004,0.243882,0.00865248,-0.00014176
0.0120001,0.243738,0.017305,-0.000283519
0.0179999,0.243595,0.0259571,-0.000425273
0.0239999,0.243451,0.0346096,-0.000567032
0.03,0.243307,0.043262,-0.000708792
0.036,0.243163,0.0519145,-0.000850552
0.0420001,0.24302,0.060567,-0.000992311
0.0480001,0.242876,0.0692195,-0.00113407
0.0539999,0.242732,0.0778716,-0.00127582
0.0599999,0.242589,0.0865241,-0.00141758
0.066,0.242445,0.0951766,-0.00155934
0.072,0.242301,0.103829,-0.0017011
0.0780001,0.242158,0.112482,-0.00184286
0.0840001,0.242014,0.121134,-0.00198462
0.0899999,0.24187,0.129786,-0.00212638
0.096,0.241727,0.138439,-0.00226814
0.102,0.241583,0.147091,-0.00240989
0.108,0.241439,0.155744,-0.00255165
0.114,0.241295,0.164396,-0.00269341
0.12,0.241152,0.173048,-0.00283517
0.126,0.241008,0.181701,-0.00297693
0.132,0.240864,0.190353,-0.00311869
0.138,0.240721,0.199006,-0.00326045
0.144,0.240577,0.207658,-0.00340221
0.15,0.240433,0.216311,-0.00354397
0.156,0.24029,0.224963,-0.00368572
0.162,0.240146,0.233615,-0.00382748
0.168,0.240002,0.242268,-0.00396924
0.174,0.239858,0.25092,-0.004111
0.18,0.239754,0.258399,-0.00447555
0.186,0.239673,0.265199,-0.00496889
0.192,0.239592,0.271999,-0.00546222
0.198,0.239511,0.278799,-0.00595556
0.204,0.23943,0.285599,-0.00644891
0.21,0.239349,0.292399,-0.00694225
0.216,0.239268,0.2992,-0.0074356
0.222,0.239187,0.306,-0.00792892
0.228,0.239105,0.3128,-0.00842227
0.234,0.239024,0.3196,-0.00891562
0.24,0.238943,0.3264,-0.00940896
0.246,0.238862,0.3332,-0.00990231
0.252,0.238781,0.34,-0.0103957
0.258,0.2387,0.3468,-0.010889
0.264,0.238619,0.353601,-0.0113823
0.27,0.238538,0.360401,-0.0118757
0.276,0.238456,0.367201,-0.012369
0.282,0.238375,0.374001,-0.0128624
0.288,0.238294,0.380801,-0.0133557
0.294,0.238213,0.387601,-0.013849
0.3,0.238132,0.394401,-0.0143424
0.306,0.238051,0.401201,-0.0148357
0.312,0.23797,0.408002,-0.0153291
0.318,0.237889,0.414802,-0.0158224
0.324,0.237807,0.421602,-0.0163157
0.33,0.237726,0.428402,-0.0168091
0.336,0.237645,0.435202,-0.0173024
0.342,0.237564,0.442002,-0.0177958
0.348,0.237483,0.448802,-0.0182891
0.354,0.237378,0.455223,-0.0188418
0.36,0.237206,0.460602,-0.0195573
0.366,0.237034,0.465981,-0.0202728
0.372,0.236863,0.47136,-0.0209884
0.378,0.236691,0.476739,-0.0217039
0.384,0.23652,0.482118,-0.0224194
0.39,0.236348,0.487497,-0.0231349
0.396,0.236176,0.492876,-0.0238504
0.402,0.236005,0.498255,-0.024566
0.408,0.235833,0.503634,-0.0252815
0.414,0.235662,0.509013,-0.025997
0.42,0.23549,0.514392,-0.0267125
0.426,0.235318,0.519772,-0.0274281
0.432,0.235147,0.52515,-0.0281436
0.438,0.234975,0.53053,-0.0288591
0.444,0.234804,0.535909,-0.0295746
0.45,0.234632,0.541288,-0.0302901
0.456,0.23446,0.546667,-0.0310057
0.462,0.234289,0.552046,-0.0317212
0.468,0.234117,0.557425,-0.0324367
