"arc_length","p","u","v"
0,10.7445,0.999908,0
0.0179999,10.7181,0.999064,0
0.036,10.6916,0.99822,0
0.0539999,10.6651,0.997377,0
0.072,10.6387,0.996533,0
0.0899999,10.614,0.995059,-8.13152e-20
0.108,10.5919,0.992669,1.0842e-19
0.126,10.5698,0.990278,0
0.144,10.5477,0.987888,0
0.162,10.5257,0.985497,0
0.18,10.506,0.981999,2.1684e-19
0.198,10.4866,0.97832,-2.1684e-19
0.216,10.4673,0.974642,0
0.234,10.448,0.970963,-4.33681e-19
0.252,10.4297,0.966883,-1.6263e-19
0.27,10.4133,0.962084,2.1684e-19
0.288,10.3969,0.957285,2.1684e-19
0.306,10.3805,0.952486,0
0.324,10.3641,0.947686,0
0.342,10.35,0.942,-1.0842e-19
0.36,10.3362,0.936215,0
0.378,10.3223,0.93043,0
0.396,10.3084,0.924645,0
0.414,10.2958,0.918428,2.1684e-19
0.432,10.2844,0.911754,-2.1684e-19
0.45,10.273,0.90508,-4.33681e-19
0.468,10.2616,0.898405,0
0.486,10.2504,0.891636,8.13152e-20
0.504,10.2414,0.884142,-4.33681e-19
0.522,10.2323,0.876649,0
0.54,10.2232,0.869155,4.33681e-19
0.558,10.2142,0.861662,0
0.576,10.2069,0.85356,-2.1684e-19
0.594,10.2002,0.845297,-4.33681e-19
0.612,10.1934,0.837033,0
0.63,10.1867,0.828769,0
0.648,10.1811,0.820133,2.1684e-19
0.666,10.1766,0.811132,0
0.684,10.1722,0.802131,-4.33681e-19
0.702,10.1677,0.79313,0
0.72,10.1639,0.78394,-2.1684e-19
0.738,10.1619,0.774224,0
0.756,10.1598,0.764508,0
0.774,10.1577,0.754791,0
0.792,10.1558,0.74503,4.06576e-19
0.81,10.1563,0.734614,0
0.828,10.1567,0.724198,0
0.846,10.1571,0.713781,0
0.864,10.1575,0.703365,0
0.882,10.1603,0.692325,2.1684e-19
0.9,10.1634,0.681221,-4.33681e-19
0.918,10.1665,0.670117,0
0.936,10.1695,0.659013,0
0.954,10.1748,0.647376,2.1684e-19
0.972,10.1807,0.635599,-4.33681e-19
0.99,10.1866,0.623821,0
1.008,10.1925,0.612043,8.67362e-19
1.026,10.2007,0.599801,2.1684e-19
1.044,10.2097,0.587373,-4.33681e-19
1.062,10.2188,0.574945,-8.67362e-19
1.08,10.2278,0.562517,0
1.098,10.239,0.549667,0
1.116,10.2511,0.536617,0
1.134,10.2633,0.523567,0
1.152,10.2754,0.510517,0
1.17,10.2903,0.497087,0
1.188,10.3065,0.483475,0
1.206,10.3226,0.469864,0
1.224,10.3388,0.456252,0
1.242,10.3583,0.44225,0
1.26,10.3782,0.428187,0
1.278,10.3982,0.414124,0
1.296,10.4191,0.399984,0
1.314,10.4432,0.385593,0
1.332,10.4673,0.371203,0
1.35,10.4914,0.356812,0
1.368,10.5187,0.342287,0
1.386,10.547,0.327724,0
1.404,10.5753,0.31316,0
1.422,10.6056,0.298601,0
1.44,10.6381,0.284045,0
1.458,10.6706,0.26949,0
1.476,10.7046,0.25501,0
1.494,10.7413,0.24067,0
1.512,10.778,0.226331,0
1.53,10.8161,0.212152,0
