"arc_length","p","u","v"
0,12.6625,0.999908,0
0.0179999,12.636,0.999064,0
0.036,12.6096,0.99822,0
0.0539999,12.5831,0.997377,0
0.072,12.5566,0.996533,0
0.0899999,12.5319,0.995059,5.42101e-20
0.108,12.5099,0.992669,-1.0842e-19
0.126,12.4878,0.990278,0
0.144,12.4657,0.987888,0
0.162,12.4436,0.985497,0
0.18,12.4239,0.981999,2.1684e-19
0.198,12.4046,0.97832,0
0.216,12.3853,0.974642,-2.1684e-19
0.234,12.366,0.970963,0
0.252,12.3477,0.966884,1.6263e-19
0.27,12.3313,0.962084,2.1684e-19
0.288,12.3149,0.957285,0
0.306,12.2985,0.952486,0
0.324,12.2821,0.947686,0
0.342,12.268,0.942,0
0.36,12.2541,0.936216,-2.1684e-19
0.378,12.2403,0.930431,4.33681e-19
0.396,12.2264,0.924646,0
0.414,12.2137,0.918429,1.0842e-19
0.432,12.2023,0.911754,0
0.45,12.1909,0.90508,-4.33681e-19
0.468,12.1795,0.898406,0
0.486,12.1684,0.891636,1.0842e-19
0.504,12.1593,0.884143,-2.1684e-19
0.522,12.1503,0.876649,0
0.54,12.1412,0.869156,0
0.558,12.1321,0.861662,0
0.576,12.1249,0.853561,0
0.594,12.1181,0.845297,0
0.612,12.1114,0.837033,0
0.63,12.1046,0.82877,0
0.648,12.099,0.820133,0
0.666,12.0946,0.811132,0
0.684,12.0902,0.802131,-4.33681e-19
0.702,12.0857,0.79313,0
0.72,12.0819,0.78394,2.1684e-19
0.738,12.0798,0.774224,0
0.756,12.0778,0.764508,0
0.774,12.0757,0.754792,0
0.792,12.0738,0.745031,-2.1684e-19
0.81,12.0742,0.734614,4.33681e-19
0.828,12.0746,0.724198,-4.33681e-19
0.846,12.0751,0.713782,0
0.864,12.0755,0.703365,0
0.882,12.0783,0.692326,0
0.9,12.0814,0.681221,4.33681e-19
0.918,12.0844,0.670117,-8.67362e-19
0.936,12.0875,0.659013,0
0.954,12.0928,0.647377,-2.1684e-19
0.972,12.0987,0.635599,4.33681e-19
0.99,12.1046,0.623822,0
1.008,12.1105,0.612044,-8.67362e-19
1.026,12.1186,0.599802,-2.1684e-19
1.044,12.1277,0.587374,0
1.062,12.1367,0.574946,0
1.08,12.1458,0.562518,0
1.098,12.157,0.549668,0
1.116,12.1691,0.536618,0
1.134,12.1813,0.523568,0
1.152,12.1934,0.510518,0
1.17,12.2083,0.497088,0
1.188,12.2244,0.483476,0
1.206,12.2406,0.469865,0
1.224,12.2568,0.456253,0
1.242,12.2762,0.442251,0
1.26,12.2962,0.428188,0
1.278,12.3161,0.414124,0
1.296,12.3371,0.399985,0
1.314,12.3612,0.385594,0
1.332,12.3852,0.371203,0
1.35,12.4093,0.356813,0
1.368,12.4367,0.342288,0
1.386,12.4649,0.327724,0
1.404,12.4932,0.313161,0
1.422,12.5235,0.298601,0
1.44,12.5561,0.284046,0
1.458,12.5886,0.269491,0
1.476,12.6226,0.25501,0
1.494,12.6593,0.240671,0
1.512,12.696,0.226332,0
1.53,12.7341,0.212152,0
1.548,12.7747,0.198256,0
1.566,12.8153,0.184359,0
1.584,12.8577,0.170814,0
1.602,12.9019,0.157599,0
1.62,12.946,0.144384,0
1.638,12.9925,0.131909,0
1.656,13.0396,0.119611,0
1.674,13.0871,0.107571,0
1.692,13.1363,0.0964085,0
1.71,13.1854,0.0852457,0
1.728,13.2354,0.0750973,0
1.746,13.2857,0.0652517,0
1.764,13.336,0.0560286,0
1.782,13.3862,0.0476311,0
1.8,13.4363,0.0395385,0
1.818,13.4854,0.0326565,0
1.836,13.5344,0.0258937,0
1.854,13.5812,0.0205274,0
1.872,13.6279,0.0152438,0
1.89,13.6714,0.0113263,0
1.908,13.7143,0.00758438,0
1.926,13.754,0.00499842,0
1.944,13.7919,0.00275795,0
1.962,13.8257,0.00133038,0
1.98,13.8588,0.00046153,0
1.998,13.8914,4.61524e-05,0
2.016,nan,nan,nan
2.034,nan,nan,nan
2.052,nan,nan,nan
2.07,nan,nan,nan
2.088,nan,nan,nan
2.106,nan,nan,nan
2.124,nan,nan,nan
2.142,nan,nan,nan
2.16,nan,nan,nan
2.178,nan,nan,nan
2.196,nan,nan,nan
2.214,nan,nan,nan
2.232,nan,nan,nan
2.25,nan,nan,nan
