"arc_length","u","v","p"
0,0,0,-36.6999
0.001,-0.00062034,0.00148582,-35.9988
0.002,-0.00124068,0.00297165,-35.2977
0.003,-0.00186102,0.00445747,-34.5966
0.004,-0.00248136,0.00594329,-33.8955
0.005,-0.0031017,0.00742911,-33.1944
0.006,-0.00372204,0.00891494,-32.4933
0.007,-0.00434238,0.0104008,-31.7922
0.008,-0.00495852,0.0118776,-31.0956
0.009,-0.00555646,0.0133153,-30.4185
0.01,-0.0061544,0.0147531,-29.7413
0.011,-0.00675234,0.0161909,-29.0641
0.012,-0.00735029,0.0176286,-28.3869
0.013,-0.00794823,0.0190664,-27.7098
0.014,-0.00854617,0.0205042,-27.0326
0.015,-0.00914411,0.0219419,-26.3554
0.016,-0.00973423,0.023361,-25.7806
0.017,-0.0103113,0.0247489,-25.3762
0.018,-0.0108884,0.0261368,-24.9718
0.019,-0.0114655,0.0275246,-24.5675
0.02,-0.0120426,0.0289125,-24.1631
0.021,-0.0126197,0.0303004,-23.7588
0.022,-0.0131967,0.0316883,-23.3544
0.023,-0.0137738,0.0330762,-22.9501
0.024,-0.01434,0.0344351,-22.6132
0.025,-0.0148977,0.0357715,-22.329
0.026,-0.0154554,0.0371078,-22.0447
0.027,-0.0160131,0.0384442,-21.7604
0.028,-0.0165708,0.0397806,-21.4762
0.029,-0.0171284,0.0411169,-21.1919
0.03,-0.0176861,0.0424533,-20.9076
0.031,-0.0182438,0.0437897,-20.6233
0.032,-0.018788,0.0450863,-20.3883
0.033,-0.0193276,0.0463697,-20.1696
0.034,-0.0198673,0.0476531,-19.9509
0.035,-0.020407,0.0489365,-19.7322
0.036,-0.0209466,0.0502199,-19.5135
0.037,-0.0214863,0.0515033,-19.2948
0.038,-0.022026,0.0527867,-19.0761
0.039,-0.0225656,0.0540701,-18.8574
0.04,-0.0230896,0.0553026,-18.6778
0.041,-0.0236125,0.0565318,-18.5009
0.042,-0.0241354,0.0577609,-18.324
0.043,-0.0246584,0.0589901,-18.1471
0.044,-0.0251813,0.0602192,-17.9701
0.045,-0.0257042,0.0614484,-17.7932
0.046,-0.0262272,0.0626775,-17.6163
0.047,-0.0267482,0.0638998,-17.4429
0.048,-0.0272556,0.0650735,-17.2949
0.049,-0.027763,0.0662473,-17.1468
0.05,-0.0282704,0.0674211,-16.9987
0.051,-0.0287778,0.0685949,-16.8506
0.052,-0.0292853,0.0697687,-16.7025
0.053,-0.0297927,0.0709425,-16.5545
0.054,-0.0303001,0.0721163,-16.4064
0.055,-0.030803,0.0732725,-16.2649
0.056,-0.0312961,0.07439,-16.1379
0.057,-0.0317891,0.0755075,-16.0109
0.058,-0.0322822,0.076625,-15.8838
0.059,-0.0327752,0.0777426,-15.7568
0.06,-0.0332683,0.0788601,-15.6298
