"arc_length","u","v","p"
0,0,0,-63.8784
0.001,-0.000675382,0.00165062,-62.504
0.002,-0.00135076,0.00330124,-61.1295
0.003,-0.00202614,0.00495185,-59.7551
0.004,-0.00270153,0.00660247,-58.3807
0.005,-0.00337691,0.00825309,-57.0063
0.006,-0.00405229,0.00990371,-55.6318
0.007,-0.00472767,0.0115543,-54.2574
0.008,-0.0053985,0.0131952,-52.8919
0.009,-0.00604961,0.014794,-51.5652
0.01,-0.00670072,0.0163928,-50.2384
0.011,-0.00735184,0.0179915,-48.9117
0.012,-0.00800295,0.0195903,-47.5849
0.013,-0.00865406,0.0211891,-46.2582
0.014,-0.00930517,0.0227878,-44.9314
0.015,-0.00995628,0.0243866,-43.6047
0.016,-0.0105989,0.025965,-42.4806
0.017,-0.0112275,0.0275095,-41.6944
0.018,-0.011856,0.0290539,-40.9081
0.019,-0.0124845,0.0305983,-40.1219
0.02,-0.013113,0.0321428,-39.3356
0.021,-0.0137415,0.0336872,-38.5494
0.022,-0.0143701,0.0352317,-37.7632
0.023,-0.0149986,0.0367761,-36.9769
0.024,-0.0156153,0.0382887,-36.323
0.025,-0.0162228,0.0397766,-35.7719
0.026,-0.0168303,0.0412644,-35.2209
0.027,-0.0174379,0.0427523,-34.6699
0.028,-0.0180454,0.0442401,-34.1188
0.029,-0.0186529,0.045728,-33.5678
0.03,-0.0192604,0.0472159,-33.0167
0.031,-0.019868,0.0487037,-32.4657
0.032,-0.0204609,0.0501476,-32.0099
0.033,-0.0210489,0.0515768,-31.5859
0.034,-0.0216369,0.0530061,-31.1619
0.035,-0.0222249,0.0544353,-30.738
0.036,-0.0228129,0.0558645,-30.314
0.037,-0.0234009,0.0572938,-29.89
0.038,-0.023989,0.058723,-29.466
0.039,-0.024577,0.0601522,-29.042
0.04,-0.025148,0.0615248,-28.6933
0.041,-0.0257179,0.0628936,-28.3496
0.042,-0.0262879,0.0642624,-28.0059
0.043,-0.0268578,0.0656312,-27.6622
0.044,-0.0274277,0.067,-27.3185
0.045,-0.0279976,0.0683689,-26.9748
